School,seed,wins
Akron,,
Alabama,6,0
Arizona,1,2
Arkansas,4,3
Auburn,2,1
Baylor,1,1
Boise State,8,0
Bryant,-1,0
Cal State Fullerton,15,0
Chattanooga,13,0
Colgate,14,0
Colorado State,6,0
Connecticut,5,0
Creighton,9,1
Davidson,10,0
Delaware,15,0
Duke,2,4
Georgia State,16,0
Gonzaga,1,2
Houston,5,3
Illinois,4,1
Indiana,12,0
Iowa,5,0
Iowa State,11,2
Jacksonville State,15,0
Kansas,1,6
Kentucky,2,0
Longwood,14,0
Louisiana State,6,0
Loyola (IL),10,0
Marquette,9,0
Memphis,9,1
Miami (FL),10,3
Michigan,11,2
Michigan State,7,1
Montana State,14,0
Murray State,7,1
New Mexico State,12,1
Norfolk State,16,0
North Carolina,8,5
Notre Dame,11,1
Ohio State,7,1
Providence,4,2
Purdue,3,2
Richmond,12,1
Rutgers,-1,0
Saint Mary's (CA),5,1
Saint Peter's,15,3
San Diego State,8,0
San Francisco,10,0
Seton Hall,8,0
South Dakota State,13,0
Southern California,7,0
TCU,9,1
Tennessee,3,1
Texas,6,1
Texas A&M-Corpus Christi,-1,0
Texas Southern,16,0
Texas Tech,3,2
UAB,12,0
UCLA,4,2
Vermont,13,0
Villanova,2,4
Virginia Tech,11,0
Wisconsin,3,1
Wright State,16,0
Wyoming,-1,0
Yale,14,0
