School,seed
Alabama,1
Arizona,2
Arizona State,11
Arkansas,8
Auburn,9
Baylor,3
Boise State,10
Colgate,15
College of Charleston,12
Connecticut,4
Creighton,6
Drake,12
Duke,5
Fairleigh Dickinson,16
Florida Atlantic,9
Furman,13
Gonzaga,3
Grand Canyon,14
Houston,1
Howard,16
Illinois,9
Indiana,4
Iona,13
Iowa,8
Iowa State,6
Kansas,1
Kansas State,3
Kennesaw State,14
Kent State,13
Kentucky,6
Louisiana,13
Marquette,2
Maryland,8
Memphis,8
Miami (FL),5
Michigan State,7
Mississippi State,11
Missouri,10
Montana State,14
NC State,11
Nevada,11
Northern Kentucky,16
Northwestern,7
Oral Roberts,12
Penn State,10
Pittsburgh,11
Princeton,15
Providence,11
Purdue,1
Saint Mary's (CA),5
San Diego State,5
Southeast Missouri State,16
Southern California,10
TCU,6
Tennessee,4
Texas,2
Texas A&M,7
Texas A&M-Corpus Christi,16
Texas Southern,16
UC Santa Barbara,14
UCLA,2
UNC Asheville,15
Utah State,7
Vermont,15
Virginia,4
Virginia Commonwealth,12
West Virginia,9
Xavier,3
